房屋坐落	房地产公司名称	房屋用途	房屋套型	建筑面积	参考单价
陵镇芦荡路1299号尚林华庭28幢1001	华润置地（苏州）建设有限公司	住宅	1室1厅1卫	101.09	15158
陵镇芦荡路1299号尚林华庭28幢1002	华润置地（苏州）建设有限公司	住宅	1室1厅1卫	89.47	15258
陵镇芦荡路1299号尚林华庭28幢1003	华润置地（苏州）建设有限公司	住宅	1室1厅1卫	89.47	15258
陵镇芦荡路1299号尚林华庭28幢1004	华润置地（苏州）建设有限公司	住宅	1室1厅1卫	101.09	15108
陵镇芦荡路1299号尚林华庭28幢101	华润置地（苏州）建设有限公司	住宅	1室1厅1卫	101.09	14238
陵镇芦荡路1299号尚林华庭28幢102	华润置地（苏州）建设有限公司	住宅	1室1厅1卫	89.47	14338
陵镇芦荡路1299号尚林华庭28幢103	华润置地（苏州）建设有限公司	住宅	1室1厅1卫	89.47	14338
陵镇芦荡路1299号尚林华庭28幢104	华润置地（苏州）建设有限公司	住宅	1室1厅1卫	101.09	14188
陵镇芦荡路1299号尚林华庭28幢1101	华润置地（苏州）建设有限公司	住宅	1室1厅1卫	101.09	15208
陵镇芦荡路1299号尚林华庭28幢1102	华润置地（苏州）建设有限公司	住宅	1室1厅1卫	89.47	15308
陵镇芦荡路1299号尚林华庭28幢1103	华润置地（苏州）建设有限公司	住宅	1室1厅1卫	89.47	15308
陵镇芦荡路1299号尚林华庭28幢1104	华润置地（苏州）建设有限公司	住宅	1室1厅1卫	101.09	15158
陵镇芦荡路1299号尚林华庭28幢1201	华润置地（苏州）建设有限公司	住宅	1室1厅1卫	101.09	15258
陵镇芦荡路1299号尚林华庭28幢1202	华润置地（苏州）建设有限公司	住宅	1室1厅1卫	89.47	15358
陵镇芦荡路1299号尚林华庭28幢1203	华润置地（苏州）建设有限公司	住宅	1室1厅1卫	89.47	15358
陵镇芦荡路1299号尚林华庭28幢1204	华润置地（苏州）建设有限公司	住宅	1室1厅1卫	101.09	15208
陵镇芦荡路1299号尚林华庭28幢1301	华润置地（苏州）建设有限公司	住宅	1室1厅1卫	101.09	15308
陵镇芦荡路1299号尚林华庭28幢1302	华润置地（苏州）建设有限公司	住宅	1室1厅1卫	89.47	15408
陵镇芦荡路1299号尚林华庭28幢1303	华润置地（苏州）建设有限公司	住宅	1室1厅1卫	89.47	15408
陵镇芦荡路1299号尚林华庭28幢1304	华润置地（苏州）建设有限公司	住宅	1室1厅1卫	101.09	15258
陵镇芦荡路1299号尚林华庭28幢1401	华润置地（苏州）建设有限公司	住宅	1室1厅1卫	101.09	15308
陵镇芦荡路1299号尚林华庭28幢1402	华润置地（苏州）建设有限公司	住宅	1室1厅1卫	89.47	15408
陵镇芦荡路1299号尚林华庭28幢1403	华润置地（苏州）建设有限公司	住宅	1室1厅1卫	89.47	15408
